GEO_ID_NEW,GEO_ID,NAME,B01003_001E,B01003_001M
53031950202,1400000US53031950202,"Census Tract 9502.02, Jefferson County, Washington",1617,276
53031950300,1400000US53031950300,"Census Tract 9503, Jefferson County, Washington",6577,471
53031950400,1400000US53031950400,"Census Tract 9504, Jefferson County, Washington",4205,290
53031950500,1400000US53031950500,"Census Tract 9505, Jefferson County, Washington",6704,420
53031950601,1400000US53031950601,"Census Tract 9506.01, Jefferson County, Washington",6611,271
53031950602,1400000US53031950602,"Census Tract 9506.02, Jefferson County, Washington",2977,278
53031950702,1400000US53031950702,"Census Tract 9507.02, Jefferson County, Washington",2165,218
53031990000,1400000US53031990000,"Census Tract 9900, Jefferson County, Washington",0,12
53033000100,1400000US53033000100,"Census Tract 1, King County, Washington",7985,526
53033000200,1400000US53033000200,"Census Tract 2, King County, Washington",8498,435
53033000300,1400000US53033000300,"Census Tract 3, King County, Washington",2991,219
53033000401,1400000US53033000401,"Census Tract 4.01, King County, Washington",6560,423
53033000402,1400000US53033000402,"Census Tract 4.02, King County, Washington",5419,619
53033000500,1400000US53033000500,"Census Tract 5, King County, Washington",3143,189
53033000600,1400000US53033000600,"Census Tract 6, King County, Washington",8124,558
53033000700,1400000US53033000700,"Census Tract 7, King County, Washington",5217,431
53033000800,1400000US53033000800,"Census Tract 8, King County, Washington",2710,177
53033000900,1400000US53033000900,"Census Tract 9, King County, Washington",2009,129
53033001000,1400000US53033001000,"Census Tract 10, King County, Washington",2055,140
53033001100,1400000US53033001100,"Census Tract 11, King County, Washington",2752,268
53033001200,1400000US53033001200,"Census Tract 12, King County, Washington",7124,436
53033001300,1400000US53033001300,"Census Tract 13, King County, Washington",4702,294
53033001400,1400000US53033001400,"Census Tract 14, King County, Washington",5674,527
53033001500,1400000US53033001500,"Census Tract 15, King County, Washington",2752,155
53033001600,1400000US53033001600,"Census Tract 16, King County, Washington",4758,310
53033001701,1400000US53033001701,"Census Tract 17.01, King County, Washington",4024,307
53033001702,1400000US53033001702,"Census Tract 17.02, King County, Washington",5018,316
53033001800,1400000US53033001800,"Census Tract 18, King County, Washington",5246,332
53033001900,1400000US53033001900,"Census Tract 19, King County, Washington",4971,296
53033002000,1400000US53033002000,"Census Tract 20, King County, Washington",3754,218
53033002100,1400000US53033002100,"Census Tract 21, King County, Washington",4350,218
53033002200,1400000US53033002200,"Census Tract 22, King County, Washington",5867,412
53033002400,1400000US53033002400,"Census Tract 24, King County, Washington",3224,196
53033002500,1400000US53033002500,"Census Tract 25, King County, Washington",3357,303
53033002600,1400000US53033002600,"Census Tract 26, King County, Washington",5268,253
53033002700,1400000US53033002700,"Census Tract 27, King County, Washington",6415,503
53033002800,1400000US53033002800,"Census Tract 28, King County, Washington",4925,343
53033002900,1400000US53033002900,"Census Tract 29, King County, Washington",4863,298
53033003000,1400000US53033003000,"Census Tract 30, King County, Washington",6314,344
53033003100,1400000US53033003100,"Census Tract 31, King County, Washington",6452,234
53033003200,1400000US53033003200,"Census Tract 32, King County, Washington",8813,540
53033003300,1400000US53033003300,"Census Tract 33, King County, Washington",7560,468
53033003400,1400000US53033003400,"Census Tract 34, King County, Washington",3630,211
53033003500,1400000US53033003500,"Census Tract 35, King County, Washington",4218,207
53033003600,1400000US53033003600,"Census Tract 36, King County, Washington",7122,507
53033003800,1400000US53033003800,"Census Tract 38, King County, Washington",2362,131
53033003900,1400000US53033003900,"Census Tract 39, King County, Washington",3070,191
53033004000,1400000US53033004000,"Census Tract 40, King County, Washington",3237,247
53033004100,1400000US53033004100,"Census Tract 41, King County, Washington",8106,449
53033004200,1400000US53033004200,"Census Tract 42, King County, Washington",8588,479
53033004301,1400000US53033004301,"Census Tract 43.01, King County, Washington",3827,260
53033004302,1400000US53033004302,"Census Tract 43.02, King County, Washington",4116,446
53033004400,1400000US53033004400,"Census Tract 44, King County, Washington",7634,847
53033004500,1400000US53033004500,"Census Tract 45, King County, Washington",3348,376
53033004600,1400000US53033004600,"Census Tract 46, King County, Washington",3623,230
53033004700,1400000US53033004700,"Census Tract 47, King County, Washington",9409,488
53033004800,1400000US53033004800,"Census Tract 48, King County, Washington",5213,367
53033004900,1400000US53033004900,"Census Tract 49, King County, Washington",7058,552
53033005000,1400000US53033005000,"Census Tract 50, King County, Washington",4011,415
53033005100,1400000US53033005100,"Census Tract 51, King County, Washington",3716,209
53033005200,1400000US53033005200,"Census Tract 52, King County, Washington",6674,637
53033005301,1400000US53033005301,"Census Tract 53.01, King County, Washington",8226,770
53033005302,1400000US53033005302,"Census Tract 53.02, King County, Washington",5320,629
53033005400,1400000US53033005400,"Census Tract 54, King County, Washington",6120,386
53033005600,1400000US53033005600,"Census Tract 56, King County, Washington",6954,471
53033005700,1400000US53033005700,"Census Tract 57, King County, Washington",6864,417
53033005801,1400000US53033005801,"Census Tract 58.01, King County, Washington",5351,396
53033005802,1400000US53033005802,"Census Tract 58.02, King County, Washington",5853,430
